component_id,size,node_list,is_cycle
0,3,"[0, 2, 1]",true
1,3,"[3, 5, 4]",true
2,3,"[9, 11, 10]",true
3,3,"[15, 17, 16]",true
4,3,"[21, 23, 22]",true
5,3,"[27, 29, 28]",true
6,3,"[33, 35, 34]",true
7,3,"[39, 41, 40]",true
8,3,"[6, 8, 7]",true
9,3,"[12, 14, 13]",true
10,3,"[18, 20, 19]",true
11,3,"[24, 26, 25]",true
12,3,"[30, 32, 31]",true
13,3,"[36, 38, 37]",true
