algorithm,time_ms,operations,components,source,has_cycles,critical_path_length
SCC,0,096,144,20,0,false,50
TopologicalSort,0,023,40,20,0,false,50
PathFinding,0,017,60,20,0,false,50
TOTAL,0,137,244,20,0,false,50
