component_id,shortest_distance,longest_distance,reachable,is_source_component
0,0,0,true,true
1,1,1,true,false
2,2,2,true,false
3,4,6,true,false
4,6,8,true,false
5,7,9,true,false
6,10,12,true,false
7,12,14,true,false
