component_id,shortest_distance,longest_distance,reachable,is_source_component
0,0,0,true,true
1,3,3,true,false
2,6,6,true,false
3,7,7,true,false
4,2,2,true,false
5,5,6,true,false
6,8,10,true,false
7,10,14,true,false
8,3,3,true,false
9,7,8,true,false
10,9,11,true,false
11,12,16,true,false
12,13,17,true,false
13,4,4,true,false
14,6,11,true,false
15,8,13,true,false
16,11,16,true,false
17,15,20,true,false
