component_id,size,node_list,is_cycle
0,1,"[0]",false
1,1,"[2]",false
2,1,"[5]",false
3,1,"[9]",false
4,1,"[1]",false
5,1,"[4]",false
6,1,"[8]",false
7,1,"[12]",false
8,1,"[3]",false
9,1,"[7]",false
10,1,"[11]",false
11,1,"[14]",false
12,1,"[16]",false
13,1,"[6]",false
14,1,"[10]",false
15,1,"[13]",false
16,1,"[15]",false
17,1,"[17]",false
