algorithm,time_ms,operations,components,source,has_cycles,critical_path_length
SCC,0,068,88,18,0,false,20
TopologicalSort,0,024,36,18,0,false,20
PathFinding,0,019,78,18,0,false,20
TOTAL,0,111,202,18,0,false,20
