algorithm,time_ms,operations,components,source,has_cycles,critical_path_length
SCC,0,070,30,3,0,false,5
TopologicalSort,0,014,6,3,0,false,5
PathFinding,0,009,6,3,0,false,5
TOTAL,0,093,42,3,0,false,5
